ID,falsto_name,globalid,year
533,Mammendorf_1,0AC15AF6-26CC-4575-8C8D-EDB6B1D46287,2015
534,Mammendorf_1,F301DD9E-5B81-432A-8E61-D31886621DA6,2016
535,Mammendorf_1,F301DD9E-5B81-432A-8E61-D31886621DA6,2017
536,Mammendorf_1,F301DD9E-5B81-432A-8E61-D31886621DA6,2018
537,Mammendorf_1,F301DD9E-5B81-432A-8E61-D31886621DA6,2019
538,Mammendorf_1,232CC5F8-EF35-4643-AFE6-C655163A2397,2020
539,Mammendorf_1,232CC5F8-EF35-4643-AFE6-C655163A2397,2021
540,Mammendorf_2,32C4D02A-7E69-4258-BEA4-6627AB8E26B7,2015
541,Mammendorf_2,32C4D02A-7E69-4258-BEA4-6627AB8E26B7,2016
542,Mammendorf_2,32C4D02A-7E69-4258-BEA4-6627AB8E26B7,2017
543,Mammendorf_2,32C4D02A-7E69-4258-BEA4-6627AB8E26B7,2018
544,Mammendorf_2,708A54CA-15C5-434E-900D-49F296CFC5D8,2019
545,Mammendorf_2,F13B02C8-C188-4EF6-8C7A-0E1EFFC2472C,2020
546,Mammendorf_2,F13B02C8-C188-4EF6-8C7A-0E1EFFC2472C,2021
547,Markt_Indersdorf_1,398807BF-72C8-4C3C-8436-3A747566C733,2015
548,Markt_Indersdorf_1,398807BF-72C8-4C3C-8436-3A747566C733,2016
549,Markt_Indersdorf_1,398807BF-72C8-4C3C-8436-3A747566C733,2017
550,Markt_Indersdorf_1,398807BF-72C8-4C3C-8436-3A747566C733,2018
551,Markt_Indersdorf_1,398807BF-72C8-4C3C-8436-3A747566C733,2019
552,Markt_Indersdorf_1,95531458-FCC1-4A10-A2B1-8B763FDCA0FC,2020
553,Markt_Indersdorf_1,95531458-FCC1-4A10-A2B1-8B763FDCA0FC,2021
554,Markt_Indersdorf_2,B18FDE79-27B2-4A20-930D-B12D42EEEF91,2015
555,Markt_Indersdorf_2,B18FDE79-27B2-4A20-930D-B12D42EEEF91,2016
556,Markt_Indersdorf_2,B18FDE79-27B2-4A20-930D-B12D42EEEF91,2017
557,Markt_Indersdorf_2,B18FDE79-27B2-4A20-930D-B12D42EEEF91,2018
558,Markt_Indersdorf_2,F57E9CA1-0FA5-4170-B48F-4FF614B44614,2019
559,Markt_Indersdorf_2,4D8B2341-DDE6-4047-B706-64D99E2A4BDF,2020
560,Markt_Indersdorf_2,4D8B2341-DDE6-4047-B706-64D99E2A4BDF,2021
